id,city,district,area_m2,bedrooms,bathrooms,floors,building_type,year_built,price_million_vnd,price_per_m2_million_vnd
1,Ho Chi Minh City,Quan 9,144.1,3,1,5,townhouse,2022,8937.19,62.02
2,Ho Chi Minh City,Quan 7,133.9,4,3,5,house,2005,11187.61,83.55
3,Ha Noi,Dong Da,52.0,4,2,5,apartment,2009,3550.3,68.28
4,Ha Noi,Dong Da,146.9,3,2,3,townhouse,2024,12626.0,85.95
5,Ho Chi Minh City,Thu Duc,102.9,1,1,2,apartment,2017,7266.38,70.62
6,Ha Noi,Ba Dinh,31.9,2,3,4,townhouse,2007,3550.33,111.3
7,Ho Chi Minh City,Quan 7,139.1,4,2,4,house,2021,10961.43,78.8
8,Ha Noi,Dong Da,52.2,3,2,2,house,2003,3641.26,69.76
9,Ha Noi,Ha Dong,53.5,1,2,5,apartment,2020,2267.41,42.38
10,Ha Noi,Hoan Kiem,145.8,4,1,1,apartment,2000,16156.96,110.82
11,Ho Chi Minh City,Tan Binh,80.8,1,3,3,townhouse,2002,4720.41,58.42
12,Ho Chi Minh City,Quan 1,102.7,2,3,2,apartment,2008,11411.51,111.11
13,Ha Noi,Dong Da,69.7,4,3,5,townhouse,2021,5855.25,84.01
14,Ho Chi Minh City,Quan 7,86.7,1,3,3,apartment,2022,5849.19,67.46
15,Ho Chi Minh City,Binh Thanh,89.3,1,3,2,house,2018,5998.73,67.17
16,Ho Chi Minh City,Tan Binh,87.0,1,2,5,townhouse,2014,4982.63,57.27
17,Ho Chi Minh City,Thu Duc,57.5,4,3,3,townhouse,2001,4717.16,82.04
18,Ha Noi,Thanh Xuan,65.5,1,2,4,house,2022,3296.86,50.33
19,Ha Noi,Ba Dinh,68.2,1,1,1,townhouse,2019,6912.11,101.35
20,Ho Chi Minh City,Quan 1,66.6,2,3,1,house,2018,6793.04,102.0
21,Ha Noi,Dong Da,59.3,3,2,1,apartment,2019,3664.58,61.8
22,Ha Noi,Ha Dong,113.6,3,1,5,apartment,2016,6200.15,54.58
23,Ha Noi,Hoan Kiem,79.3,3,1,1,apartment,2001,7462.45,94.1
24,Ho Chi Minh City,Quan 9,83.7,2,3,4,townhouse,2016,5231.92,62.51
25,Ho Chi Minh City,Binh Thanh,74.1,4,2,3,townhouse,2000,5986.47,80.79
26,Ho Chi Minh City,Quan 9,91.0,4,1,3,townhouse,2002,5669.95,62.31
27,Ho Chi Minh City,Quan 7,71.8,3,1,1,townhouse,2000,6526.77,90.9
28,Ho Chi Minh City,Quan 9,118.2,2,3,2,townhouse,2015,6639.91,56.18
29,Ha Noi,Ba Dinh,92.0,1,2,1,house,2004,9285.37,100.93
30,Ha Noi,Cau Giay,52.6,1,3,3,townhouse,2021,3951.44,75.12
31,Ha Noi,Ba Dinh,107.0,3,1,4,house,2002,11559.41,108.03
32,Ha Noi,Ha Dong,142.8,1,1,2,house,2021,6740.97,47.21
33,Ho Chi Minh City,Thu Duc,56.9,1,1,5,townhouse,2000,4444.19,78.11
34,Ha Noi,Dong Da,91.1,2,3,5,townhouse,2001,7294.55,80.07
35,Ho Chi Minh City,Binh Thanh,107.4,3,1,5,apartment,2003,7753.03,72.19
36,Ho Chi Minh City,Quan 1,35.2,4,2,5,house,2002,4574.48,129.96
37,Ha Noi,Ba Dinh,144.4,1,1,5,townhouse,2000,16228.63,112.39
38,Ha Noi,Thanh Xuan,76.2,3,1,3,house,2021,4026.68,52.84
39,Ha Noi,Cau Giay,98.4,4,2,2,townhouse,2001,8147.76,82.8
40,Ha Noi,Ba Dinh,131.8,1,3,5,house,2002,13085.77,99.29
41,Ha Noi,Ba Dinh,103.4,4,2,1,apartment,2007,10144.61,98.11
42,Ha Noi,Ha Dong,125.5,4,3,4,house,2022,6341.99,50.53
43,Ho Chi Minh City,Binh Thanh,69.4,2,3,5,house,2021,5087.58,73.31
44,Ho Chi Minh City,Quan 9,34.7,3,2,3,apartment,2020,1887.36,54.39
45,Ha Noi,Dong Da,145.8,3,2,5,house,2022,10472.68,71.83
46,Ha Noi,Dong Da,45.9,2,2,3,apartment,2018,2883.78,62.83
47,Ha Noi,Hoan Kiem,39.4,1,2,5,house,2008,3931.44,99.78
48,Ha Noi,Thanh Xuan,37.0,2,1,2,house,2024,1682.74,45.48
49,Ha Noi,Thanh Xuan,63.6,4,1,5,house,2002,3658.94,57.53
50,Ha Noi,Hoan Kiem,72.7,1,2,1,apartment,2004,5961.73,82.0
51,Ho Chi Minh City,Quan 1,67.4,2,1,4,house,2020,7662.62,113.69
52,Ho Chi Minh City,Quan 9,50.8,2,1,2,house,2003,2989.62,58.85
53,Ha Noi,Dong Da,75.0,2,3,2,apartment,2012,4847.25,64.63
54,Ha Noi,Hoan Kiem,33.2,4,3,4,house,2000,3705.59,111.61
55,Ho Chi Minh City,Thu Duc,95.5,1,3,1,apartment,2010,6356.21,66.56
56,Ha Noi,Thanh Xuan,38.3,3,2,2,apartment,2002,1746.91,45.61
57,Ho Chi Minh City,Quan 1,108.7,1,2,2,house,2018,10733.99,98.75
58,Ho Chi Minh City,Tan Binh,44.2,1,2,5,townhouse,2003,2666.82,60.34
59,Ho Chi Minh City,Thu Duc,146.1,4,2,5,apartment,2002,11255.76,77.04
60,Ho Chi Minh City,Quan 7,79.5,2,1,5,apartment,2022,5633.39,70.86
61,Ho Chi Minh City,Quan 7,42.4,1,1,4,apartment,2018,2640.46,62.28
62,Ho Chi Minh City,Quan 9,31.3,1,3,4,apartment,2013,1461.68,46.7
63,Ho Chi Minh City,Quan 9,98.8,3,1,5,townhouse,2019,6321.68,63.98
64,Ho Chi Minh City,Thu Duc,120.3,3,1,5,apartment,2006,8675.97,72.12
65,Ha Noi,Hoan Kiem,83.0,3,1,3,townhouse,2011,8810.15,106.15
66,Ho Chi Minh City,Quan 3,130.4,1,1,5,house,2001,13025.88,99.89
67,Ho Chi Minh City,Thu Duc,40.2,3,1,1,house,2006,3246.33,80.75
68,Ho Chi Minh City,Thu Duc,120.4,2,3,3,apartment,2006,8034.4,66.73
69,Ho Chi Minh City,Quan 3,138.8,3,2,3,apartment,2019,13562.97,97.72
70,Ha Noi,Thanh Xuan,128.7,3,1,3,apartment,2024,6052.97,47.03
71,Ho Chi Minh City,Quan 9,64.3,4,1,5,house,2012,4091.11,63.63
72,Ha Noi,Thanh Xuan,35.2,1,2,5,townhouse,2003,1961.89,55.74
73,Ho Chi Minh City,Quan 7,146.3,2,3,1,apartment,2000,10398.69,71.08
74,Ho Chi Minh City,Binh Thanh,100.1,4,3,1,townhouse,2015,8422.91,84.14
75,Ha Noi,Ha Dong,84.7,4,1,2,house,2017,4554.4,53.77
76,Ha Noi,Dong Da,73.2,4,3,1,apartment,2019,5016.82,68.54
77,Ho Chi Minh City,Quan 9,62.5,1,2,3,apartment,2018,3294.92,52.72
78,Ha Noi,Thanh Xuan,103.6,2,2,2,townhouse,2022,5127.93,49.5
79,Ha Noi,Ba Dinh,123.3,2,3,1,townhouse,2024,13680.16,110.95
80,Ha Noi,Cau Giay,131.1,1,1,2,apartment,2000,7804.48,59.53
81,Ho Chi Minh City,Tan Binh,133.8,1,1,5,house,2022,7387.67,55.21
82,Ho Chi Minh City,Thu Duc,143.4,2,3,1,apartment,2013,9711.54,67.72
83,Ho Chi Minh City,Quan 7,63.0,4,2,1,apartment,2001,5034.1,79.91
84,Ha Noi,Hoan Kiem,89.8,2,2,3,townhouse,2000,9403.26,104.71
85,Ha Noi,Dong Da,97.3,2,3,1,apartment,2014,5782.66,59.43
86,Ho Chi Minh City,Tan Binh,124.2,2,2,3,townhouse,2001,7972.33,64.19
